tradeEffect_key,occurrences
parchment,52
ink,51
chalk,13
note,12
dye,11
oil,11
herbs,9
spend_food,9
spend_wood,8
tokens,8
incense,7
travel_supplies,7
wax,7
bread,6
chest,6
garlands,6
lamp_oil,6
linen,6
paint,6
ribbons,6
rope,6
spend_drink,6
spend_stone,6
coin,5
nails,5
ribbon,5
scrap,5
balance,4
board_use,4
boards,4
candles,4
drink,4
firewood,4
lime,4
markers,4
materials,4
offerings,4
pay_silver,4
spare_parts,4
stakes,4
barrels,3
blanks,3
copies,3
fee,3
food,3
give_item,3
grain,3
materials_used,3
meal,3
musician_fee,3
musicians_fee,3
rags,3
resin,3
seal_wax,3
shelves,3
soap,3
tools,3
upkeep,3
use_parchment,3
wood,3
ale,2
arrears,2
bandages,2
banner,2
banners,2
bedding,2
bins,2
board_or_tablet,2
broth,2
calibration_weights,2
candle,2
cards,2
charcoal,2
cloth,2
coin_purse,2
collect_silver,2
consumables_used,2
counsel_fee,2
curtains,2
delta_visible,2
donate_gold,2
entry_fee,2
equip,2
fee_collected,2
festival_costs,2
fines_collected,2
gift_value,2
gifts,2
gifts_in,2
gifts_out,2
gold_leaf,2
grease,2
honey,2
jigs,2
labels,2
labor,2
labor_hours,2
leader,2
ledger_open,2
linens,2
lockbox,2
parchments,2
payment,2
pegs,2
pigments,2
pitch,2
planks,2
polish,2
priest_fee,2
prize_fund,2
prize_items,2
raw_materials,2
reagents,2
refreshments,2
return_item,2
sacred_salt,2
sale_value,2
salt,2
signs,2
spend_tools,2
stipend,2
stone,2
sweets,2
tags,2
tea_and_bread,2
tolls,2
tool_wear,2
tools_wear,2
torches,2
transfer,2
use_herbs,2
waste_risk,2
whetstone_wear,2
yarn,2
ale_or_kvass,1
amount,1
anoint_oil,1
ash,1
assemble_kit,1
attempted_amount,1
audit,1
axes_wear,1
badge,1
balanceAdjust,1
barracks,1
bars,1
barters,1
bell,1
bell_rings,1
bells,1
benches_reloc,1
berries,1
bid_adjust,1
bid_price,1
bier,1
binder,1
binder_clay,1
blackmarket,1
blueprint,1
board_setup,1
booth_fee,1
booths,1
boxes,1
bribe_refused,1
brooms,1
ceremonial_food,1
charms,1
charter_doc,1
chests,1
chisel_wear,1
cipher_tools,1
clay_pipes,1
clean_water,1
clear_brush,1
collateral_release,1
collect_supplies,1
collect_tools,1
commission,1
compensate,1
compost,1
condition,1
contract,1
contract_terms,1
contribute_silver,1
copy_out,1
cord,1
cords,1
council_consult,1
craft_bells,1
crates,1
crucible_wear,1
curator_fee,1
curtain,1
decorations,1
deliverables,1
deposit,1
donate_clothes,1
donate_food,1
donate_grain,1
donate_silver,1
dried_fruit,1
drummers_fee,1
due_back,1
dues,1
dyes,1
effect,1
emergency_fund,1
endowment,1
endowment_fund,1
endowment_note,1
engraving_fee,1
envelopes,1
escrow,1
escrow_deposit,1
escrow_hold,1
exam_fee,1
exit_fee,1
expectedInflow_grain,1
expend_supplies,1
farm,1
feast,1
feed,1
felt_mats,1
filters,1
findings,1
fixtures,1
flags,1
flowers,1
food_for_vigil,1
found_item,1
fruit,1
furnish,1
game_set,1
gather_volunteers,1
gifts_for_elders,1
glue,1
grain_bar,1
grain_out,1
guards,1
guest_meal,1
hall_banner,1
hat_coins,1
hay_bales,1
herald_cost,1
heralds_fee,1
herbarium_entry,1
hire_cost,1
hire_labor,1
hire_minstrels,1
hire_scribes,1
honey_cakes,1
hood_cloak,1
hooks,1
idle_loss,1
informants,1
ink_marks,1
inks,1
invitations,1
item,1
itemValue,1
jars_or_pouches,1
jig_pins,1
join_fee,1
keepsakes,1
ledger,1
ledgerNote,1
ledger_update,1
lime_used,1
limewash,1
loan_tools,1
lock_or_seal,1
loot_out,1
mapSegments,1
market_share,1
materials_grant,1
materials_plan,1
materials_shared,1
materials_sorted,1
meal_for_traveler,1
meat,1
meat_or_legumes,1
mentor_fee,1
messenger_fee,1
metal,1
mismatch,1
molds,1
move_grain,1
move_tools,1
music,1
music_fee,1
needle_wear,1
needlework,1
notice_posts,1
nuts,1
offering_value,1
order_backlog,1
output_target,1
pantry_stock,1
