tradeEffect_key,category
ale,Food & Drink
ale_or_kvass,Food & Drink
amount,"Fees, Tokens & Accounting"
anoint_oil,"Chemicals, Dyes & Finishes"
arrears,"Fees, Tokens & Accounting"
ash,Construction & Materials
assemble_kit,Misc / Unclassified
attempted_amount,"Fees, Tokens & Accounting"
audit,"Fees, Tokens & Accounting"
axes_wear,Tools & Workshop
badge,"Security, Badges & Signs"
balance,"Fees, Tokens & Accounting"
balanceAdjust,"Fees, Tokens & Accounting"
bandages,Misc / Unclassified
banner,"Security, Badges & Signs"
banners,"Security, Badges & Signs"
barracks,Misc / Unclassified
barrels,Containers & Packaging
bars,Misc / Unclassified
barters,Misc / Unclassified
bedding,Misc / Unclassified
bell,Misc / Unclassified
bell_rings,Misc / Unclassified
bells,Misc / Unclassified
benches_reloc,Misc / Unclassified
berries,Misc / Unclassified
bid_adjust,Misc / Unclassified
bid_price,Misc / Unclassified
bier,Misc / Unclassified
binder,Misc / Unclassified
binder_clay,Construction & Materials
bins,Misc / Unclassified
blackmarket,Misc / Unclassified
blanks,Misc / Unclassified
blueprint,Stationery & Records
board_or_tablet,Stationery & Records
board_setup,Misc / Unclassified
board_use,Misc / Unclassified
boards,Construction & Materials
booth_fee,Market & Booths
booths,Market & Booths
boxes,Containers & Packaging
bread,Food & Drink
bribe_refused,"Fees, Tokens & Accounting"
brooms,Misc / Unclassified
broth,Food & Drink
calibration_weights,Tools & Workshop
candle,Lighting & Fuel
candles,Lighting & Fuel
cards,Stationery & Records
ceremonial_food,Misc / Unclassified
chalk,Misc / Unclassified
charcoal,Construction & Materials
charms,Misc / Unclassified
charter_doc,Misc / Unclassified
chest,Misc / Unclassified
chests,Misc / Unclassified
chisel_wear,Tools & Workshop
cipher_tools,Misc / Unclassified
clay_pipes,Agriculture & Garden
clean_water,Misc / Unclassified
clear_brush,Misc / Unclassified
cloth,Textiles & Leather
coin,Misc / Unclassified
coin_purse,Misc / Unclassified
collateral_release,Misc / Unclassified
collect_silver,Misc / Unclassified
collect_supplies,Misc / Unclassified
collect_tools,Misc / Unclassified
commission,Misc / Unclassified
compensate,Misc / Unclassified
compost,Agriculture & Garden
condition,Misc / Unclassified
consumables_used,Misc / Unclassified
contract,Misc / Unclassified
contract_terms,Misc / Unclassified
contribute_silver,Misc / Unclassified
copies,Misc / Unclassified
copy_out,Misc / Unclassified
cord,Fasteners & Small Parts
cords,Fasteners & Small Parts
council_consult,Misc / Unclassified
counsel_fee,Misc / Unclassified
craft_bells,Misc / Unclassified
crates,Containers & Packaging
crucible_wear,Misc / Unclassified
curator_fee,Misc / Unclassified
curtain,Misc / Unclassified
curtains,Misc / Unclassified
decorations,Misc / Unclassified
deliverables,Misc / Unclassified
delta_visible,Misc / Unclassified
deposit,"Fees, Tokens & Accounting"
donate_clothes,Misc / Unclassified
donate_food,Misc / Unclassified
donate_gold,Misc / Unclassified
donate_grain,Misc / Unclassified
donate_silver,Misc / Unclassified
dried_fruit,Misc / Unclassified
drink,Misc / Unclassified
drummers_fee,Misc / Unclassified
due_back,Misc / Unclassified
dues,Misc / Unclassified
dye,"Chemicals, Dyes & Finishes"
dyes,"Chemicals, Dyes & Finishes"
effect,Misc / Unclassified
emergency_fund,Misc / Unclassified
endowment,Misc / Unclassified
endowment_fund,Misc / Unclassified
endowment_note,Misc / Unclassified
engraving_fee,Misc / Unclassified
entry_fee,"Fees, Tokens & Accounting"
envelopes,Misc / Unclassified
equip,Misc / Unclassified
escrow,Misc / Unclassified
escrow_deposit,Misc / Unclassified
escrow_hold,Misc / Unclassified
exam_fee,Misc / Unclassified
exit_fee,Misc / Unclassified
expectedInflow_grain,Misc / Unclassified
expend_supplies,Misc / Unclassified
farm,Misc / Unclassified
feast,Misc / Unclassified
fee,Misc / Unclassified
fee_collected,Misc / Unclassified
feed,Misc / Unclassified
felt_mats,Misc / Unclassified
festival_costs,Misc / Unclassified
filters,Agriculture & Garden
findings,Misc / Unclassified
fines_collected,Misc / Unclassified
firewood,Lighting & Fuel
fixtures,Misc / Unclassified
flags,"Security, Badges & Signs"
flowers,Misc / Unclassified
food,Food & Drink
food_for_vigil,Misc / Unclassified
found_item,Misc / Unclassified
fruit,Misc / Unclassified
furnish,Misc / Unclassified
game_set,Misc / Unclassified
garlands,Misc / Unclassified
gather_volunteers,Misc / Unclassified
gift_value,Misc / Unclassified
gifts,Misc / Unclassified
gifts_for_elders,Misc / Unclassified
gifts_in,Misc / Unclassified
gifts_out,Misc / Unclassified
give_item,Misc / Unclassified
glue,Misc / Unclassified
gold_leaf,Misc / Unclassified
grain,Food & Drink
grain_bar,Misc / Unclassified
grain_out,Misc / Unclassified
grease,"Chemicals, Dyes & Finishes"
guards,Misc / Unclassified
guest_meal,Misc / Unclassified
hall_banner,Misc / Unclassified
hat_coins,Misc / Unclassified
hay_bales,Agriculture & Garden
herald_cost,Misc / Unclassified
heralds_fee,Misc / Unclassified
herbarium_entry,Misc / Unclassified
herbs,Misc / Unclassified
hire_cost,Misc / Unclassified
hire_labor,Misc / Unclassified
hire_minstrels,Misc / Unclassified
hire_scribes,Misc / Unclassified
honey,Misc / Unclassified
honey_cakes,Misc / Unclassified
hood_cloak,Misc / Unclassified
hooks,Fasteners & Small Parts
idle_loss,Misc / Unclassified
incense,Misc / Unclassified
informants,Misc / Unclassified
ink,Stationery & Records
ink_marks,Misc / Unclassified
inks,Stationery & Records
invitations,Misc / Unclassified
item,Misc / Unclassified
itemValue,Misc / Unclassified
jars_or_pouches,Containers & Packaging
jig_pins,Misc / Unclassified
jigs,Misc / Unclassified
join_fee,Misc / Unclassified
keepsakes,Misc / Unclassified
labels,Stationery & Records
labor,Misc / Unclassified
labor_hours,Misc / Unclassified
lamp_oil,Lighting & Fuel
leader,Misc / Unclassified
ledger,Stationery & Records
ledgerNote,Misc / Unclassified
ledger_open,Misc / Unclassified
ledger_update,Misc / Unclassified
lime,Construction & Materials
lime_used,Misc / Unclassified
limewash,Misc / Unclassified
linen,Textiles & Leather
linens,Textiles & Leather
loan_tools,Misc / Unclassified
lock_or_seal,Misc / Unclassified
lockbox,Misc / Unclassified
loot_out,Misc / Unclassified
mapSegments,Misc / Unclassified
markers,Misc / Unclassified
market_share,Misc / Unclassified
materials,Misc / Unclassified
materials_grant,Misc / Unclassified
materials_plan,Misc / Unclassified
materials_shared,Misc / Unclassified
materials_sorted,Misc / Unclassified
materials_used,Misc / Unclassified
meal,Food & Drink
meal_for_traveler,Misc / Unclassified
meat,Misc / Unclassified
meat_or_legumes,Misc / Unclassified
mentor_fee,Misc / Unclassified
messenger_fee,Misc / Unclassified
metal,Misc / Unclassified
mismatch,Misc / Unclassified
molds,Construction & Materials
move_grain,Misc / Unclassified
move_tools,Misc / Unclassified
music,Misc / Unclassified
music_fee,Misc / Unclassified
musician_fee,Misc / Unclassified
musicians_fee,Misc / Unclassified
nails,Fasteners & Small Parts
needle_wear,Misc / Unclassified
needlework,Misc / Unclassified
note,Misc / Unclassified
notice_posts,Misc / Unclassified
nuts,Misc / Unclassified
offering_value,Misc / Unclassified
offerings,Misc / Unclassified
oil,Lighting & Fuel
order_backlog,Misc / Unclassified
output_target,Misc / Unclassified
paint,Misc / Unclassified
pantry_stock,Misc / Unclassified
paper_slips,Misc / Unclassified
parchment,Stationery & Records
parchment_scraps,Misc / Unclassified
parchment_wear,Misc / Unclassified
parchments,Stationery & Records
patent_fee,Misc / Unclassified
patrol_signs,Misc / Unclassified
patron_offer,Misc / Unclassified
pay_mason,Misc / Unclassified
pay_off,Misc / Unclassified
pay_scribe,Misc / Unclassified
pay_silver,Misc / Unclassified
payment,Misc / Unclassified
pegs,Fasteners & Small Parts
penalties,Misc / Unclassified
pigments,"Chemicals, Dyes & Finishes"
pilot_offerings,Misc / Unclassified
pitch,Misc / Unclassified
place_banners,Misc / Unclassified
planks,Construction & Materials
polish,Misc / Unclassified
postings,Misc / Unclassified
posts,Misc / Unclassified
potential_loot,Misc / Unclassified
potential_orders,Misc / Unclassified
pouch,Containers & Packaging
powder,Misc / Unclassified
price_potential,Misc / Unclassified
price_table,Misc / Unclassified
priest_fee,Misc / Unclassified
prize_fund,Misc / Unclassified
prize_items,Misc / Unclassified
prize_pool,Misc / Unclassified
prize_token,Misc / Unclassified
props,Misc / Unclassified
props_wear,Misc / Unclassified
prototype,Misc / Unclassified
prototypes,Misc / Unclassified
rags,Misc / Unclassified
rare_pigment,Misc / Unclassified
rations,Agriculture & Garden
raw_bad,Misc / Unclassified
raw_good,Misc / Unclassified
raw_materials,Misc / Unclassified
readings,Misc / Unclassified
reagents,Misc / Unclassified
reassign_workers,Misc / Unclassified
recount,Misc / Unclassified
reference_scrolls,Misc / Unclassified
refreshments,Misc / Unclassified
refuse_removed,Misc / Unclassified
rent,Misc / Unclassified
repair_kits,Tools & Workshop
reserve_silver,Misc / Unclassified
resin,Lighting & Fuel
resin_or_glue,Misc / Unclassified
resin_torches,Lighting & Fuel
resource,Misc / Unclassified
result,Misc / Unclassified
retainers,Misc / Unclassified
return_item,Misc / Unclassified
rework_hours,Misc / Unclassified
ribbon,Misc / Unclassified
ribbon_or_token,Misc / Unclassified
ribbons,Misc / Unclassified
ring_or_token,Misc / Unclassified
room_rent,Misc / Unclassified
rope,Fasteners & Small Parts
rugs,Misc / Unclassified
sacks,Containers & Packaging
sacred_oil,Misc / Unclassified
sacred_salt,Misc / Unclassified
sale_value,Misc / Unclassified
sales,Misc / Unclassified
salt,Food & Drink
salt_or_ash_electrolyte,Misc / Unclassified
sample_cost,Misc / Unclassified
sample_fee,Misc / Unclassified
saplings,Misc / Unclassified
scaffold,Misc / Unclassified
scrap,Misc / Unclassified
screens,Misc / Unclassified
scroll_created,Misc / Unclassified
seal,"Security, Badges & Signs"
seal_fee,Misc / Unclassified
seal_wax,Stationery & Records
seals,"Security, Badges & Signs"
seed_capital,Misc / Unclassified
seed_out,Misc / Unclassified
seed_packets,Agriculture & Garden
