updated=67
lowConfidence=932

actions-by-need/accountability/AccountabilityActions: DUTY_CHART_POST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: PERSONAL_WEEKLY_REPORT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: TASK_HANDOFF_FORMALIZE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: AUDIT_RANDOM_SPOTCHECK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: WITNESS_SIGNATURES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: PUBLIC_RETROSPECT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: INCIDENT_REPORT_FILE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: CHECKLIST_BEFORE_AFTER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: TOOL_COUNTERSIGN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: WORKLOG_STAMP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: PEER_REVIEW_ROTATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: ESCALATION_PATH_POST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: KPI_TALLY_MARKS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: OATH_OF_OFFICE_RENEW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: BUDGET_POUCH_SEALS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/accountability/AccountabilityActions: FEEDBACK_ONE_ON_ONE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: SPEND_QUALITY_TIME -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: GIVE_PERSONAL_GIFT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: SHARE_MEAL_INTIMATE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: CARE_DURING_ILLNESS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: DEFEND_HONOR_GENTLY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: WRITE_TOKEN_MESSAGE -> rest (sleep and passive recovery; cost-signals)
