file,tag,new_requiredMemes,indicators_matched,notes
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.DUTY_CHART_POST,comm.language.written|org.duty_roster,R3:text:CHART|R3:text:DUTY_CHART|R3:trade:parchment|R3:trade:ink|R3:text:DUTY|R6:trade:parchment|R6:trade:ink,
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.PERSONAL_WEEKLY_REPORT,comm.language.written|record.ledgerkeeping,R3:trade:parchment|R3:trade:ink|R3:text:REPORT|R6:trade:parchment|R6:trade:ink,
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.TASK_HANDOFF_FORMALIZE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.AUDIT_RANDOM_SPOTCHECK,culture.vigil_ritual|cog.timekeeping.basic,R2:location:gate,
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.WITNESS_SIGNATURES,record.ledgerkeeping|econ.pooling_common_fund,R4:trade:wax,
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.PUBLIC_RETROSPECT,health.sanitation_norms|health.waste_handling|comm.language.written,R1:location:yard|R3:location:hall,
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.INCIDENT_REPORT_FILE,comm.language.written|record.ledgerkeeping,R3:trade:parchment|R3:trade:ink|R3:text:REPORT|R6:trade:parchment|R6:trade:ink,
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.CHECKLIST_BEFORE_AFTER,comm.language.written,R3:text:BOARD|R3:trade:board_or_tablet|R6:trade:board_or_tablet,
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.TOOL_COUNTERSIGN,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.WORKLOG_STAMP,record.ledgerkeeping|econ.pooling_common_fund,R4:trade:wax,
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.PEER_REVIEW_ROTATION,comm.language.written|org.duty_roster|org.workshop_practice,R3:location:hall|R3:text:ROSTER|R6:location:workshop|R6:location:guild_hall,
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.ESCALATION_PATH_POST,comm.language.written|org.duty_roster,R3:text:BOARD|R3:trade:parchment|R3:trade:ink|R3:text:ESCALATION|R6:trade:parchment|R6:trade:ink,
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.KPI_TALLY_MARKS,comm.language.written|record.ledgerkeeping|cog.number_concept|econ.pooling_common_fund,R3:text:BOARD|R3:text:KPI|R3:text:TALLY|R3:trade:chalk|R3:text:MARKS|R3:text:KPI|R3:text:TALLY|R3:text:TOKENS|R3:text:KPI|R3:text:TALLY|R3:text:MARKS|R4:trade:tokens|R4:text:BOARD|R6:trade:chalk,
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.OATH_OF_OFFICE_RENEW,culture.vigil_ritual|cog.timekeeping.basic|comm.language.written,R2:location:temple|R3:location:hall,
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.BUDGET_POUCH_SEALS,record.ledgerkeeping|econ.pooling_common_fund,R4:trade:pouch|R4:trade:wax|R4:trade:ribbon,
backend/src/rps/domain/social/from-gpt/actions-by-need/accountability.ts,AccountabilityActionTag.FEEDBACK_ONE_ON_ONE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.SPEND_QUALITY_TIME,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.GIVE_PERSONAL_GIFT,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.SHARE_MEAL_INTIMATE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.CARE_DURING_ILLNESS,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.DEFEND_HONOR_GENTLY,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.WRITE_TOKEN_MESSAGE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.CELEBRATE_ANNIVERSARY,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.TEACH_SKILL_PATIENTLY,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.LISTEN_ATTENTIVELY,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.REASSURE_AFTER_FAILURE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.SHARE_SECRET_PLACE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.CRAFT_MEMENTO,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.PUBLIC_SUPPORT,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.PLAN_FUTURE_TOGETHER,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.GUARD_SLEEP_INTIMATE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/affection.ts,AffectionActionTag.MEDIATE_WITH_FAMILY,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.JOIN_CLAN,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.ATTEND_GATHERING,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.PARTICIPATE_RITUAL,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,ActionTags.SHARE_MEAL,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.HELP_WITH_TASK,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.GIFT_TO_MEMBER,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.WEAR_SYMBOLS,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.SING_CHANT,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.DEFEND_MEMBER,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.HOST_GUESTS,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.BUILD_COMMON_SPACE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.CELEBRATE_HOLIDAY,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.MOURN_TOGETHER,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.TELL_STORIES,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,BelongingActionTag.TRAIN_TOGETHER,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/belonging.ts,ActionTags.MEDIATE_DISPUTE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.MORNING_CLARITY_BRIEF,health.sanitation_norms|health.waste_handling|comm.language.written,R1:location:yard|R1:text:NOTICE|R1:text:BOARD|R3:text:BOARD|R3:location:hall,
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.TASK_DEFINITION_CARDS,comm.language.written,R3:text:BOARD|R3:trade:ink|R6:trade:ink,
