file,tag,added_memes,kept_memes,removed_needRework
backend/src/rps/domain/social/from-gpt/actions-by-need/curiosity.ts,CuriosityActionTag.EXPLORE_RUINS,"culture.vigil_ritual,cog.timekeeping.basic",,false
backend/src/rps/domain/social/from-gpt/actions-by-need/curiosity.ts,CuriosityActionTag.MAP_SUBTERRANEAN_PASSAGE,"culture.vigil_ritual,cog.timekeeping.basic,comm.language.written",,false
backend/src/rps/domain/social/from-gpt/actions-by-need/fear.ts,FearActionTag.EXORCISM_RITE,"culture.vigil_ritual,cog.timekeeping.basic",,false
backend/src/rps/domain/social/from-gpt/actions-by-need/identity.ts,IdentityActionTag.TOTEM_OBJECT_CONSECRATE,"culture.vigil_ritual,cog.timekeeping.basic,heat.space.hearth",,false
backend/src/rps/domain/social/from-gpt/actions-by-need/efficiency.ts,EfficiencyActionTag.HEAT_AND_LIGHT_TUNING,"fire.control,heat.space.core",,false
backend/src/rps/domain/social/from-gpt/actions-by-need/faith.ts,FaithActionTag.STUDY_SACRED_TEXTS,comm.language.written,,false
backend/src/rps/domain/social/from-gpt/actions-by-need/faith.ts,FaithActionTag.BLESS_HOME,"culture.vigil_ritual,cog.timekeeping.basic",,false
backend/src/rps/domain/social/from-gpt/actions-by-need/knowledge.ts,KnowledgeActionTag.STUDY_SCROLL,"comm.language.written,record.ledgerkeeping,cog.number_concept",,false
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.SEASONAL_DECORATIONS,comm.language.written,,false
backend/src/rps/domain/social/from-gpt/actions-by-need/focus.ts,FocusActionTag.POSTURE_AND_LIGHTING,fire.control,,false
backend/src/rps/domain/social/from-gpt/actions-by-need/spirit.ts,SpiritActionTag.COMMUNITY_VIGIL,"culture.vigil_ritual,cog.timekeeping.basic",,false
backend/src/rps/domain/social/from-gpt/actions-by-need/spirit.ts,SpiritActionTag.EXORCISM_OR_BANISHMENT,"culture.vigil_ritual,cog.timekeeping.basic",,false
backend/src/rps/domain/social/from-gpt/actions-by-need/stress.ts,StressActionTag.AROMA_OR_INCENSE,fire.control,,false
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.CLEAN_PUBLIC_SPACES,"health.sanitation_norms,health.waste_handling",,false
backend/src/rps/domain/social/from-gpt/actions-by-need/hope.ts,HopeActionTag.SANCTUARY_VIGIL,"culture.vigil_ritual,cog.timekeeping.basic",,false
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.FACE_BEAST_NOISE,"culture.vigil_ritual,cog.timekeeping.basic",,false
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.ENTER_COLLAPSE_RUBBLE,"culture.vigil_ritual,cog.timekeeping.basic",,false
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.HOLD_VIGIL_DANGEROUS_SITE,"culture.vigil_ritual,cog.timekeeping.basic",,false
